query_original,query_type,matched_term,match_basis,match_confidence,review_status,source_system,study_id,study_title,accession_or_contrast,study_link,sample_matrix,intervention_timing,platform,sex_or_subgroup,metabolite,refmet_name,source_metabolite_raw,class,superclass,subclass,log2fc,p_value,fdr,direction,significance_call,effect_interpretation,provenance_file,missing_evidence
acylcarnitine,class,car(12:0)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(12:0)_feature1,car(12:0)_lp_a,car(12:0)_feature1,,,,-0.24883753,0.33876416,1.0,down_in_numerator,not_significant,"0.25 log2-units lower in HIGHER at 8w training vs sedentary (p=3.39e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(13:0)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(13:0)_feature1,car(13:0),car(13:0)_feature1,,,,-0.2741102,0.34410173,1.0,down_in_numerator,not_significant,"0.27 log2-units lower in HIGHER at 8w training vs sedentary (p=3.44e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:0)_feature2,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(18:0)_feature2,tg(50:2)_lp_b,car(18:0)_feature2,,,,0.5277832,0.35584724,1.0,up_in_numerator,not_significant,"0.53 log2-units higher in HIGHER at 8w training vs sedentary (p=3.56e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(17:1)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(17:1)_feature1,car(17:1),car(17:1)_feature1,,,,-0.2234701,0.36046523,1.0,down_in_numerator,not_significant,"0.22 log2-units lower in HIGHER at 8w training vs sedentary (p=3.60e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(24:1)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(24:1)_feature1,car(24:1),car(24:1)_feature1,,,,0.20609368,0.36660308,1.0,up_in_numerator,not_significant,"0.21 log2-units higher in HIGHER at 8w training vs sedentary (p=3.67e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(8:0),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(8:0),car(8:0),,,,,-0.10285493,0.3693552,1.0,down_in_numerator,not_significant,"0.10 log2-units lower in HIGHER at 8w training vs sedentary (p=3.69e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(12:0)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(12:0)_feature1,car(12:0)_lp_a,car(12:0)_feature1,,,,-0.20409681,0.37107864,1.0,down_in_numerator,not_significant,"0.20 log2-units lower in HIGHER at 8w training vs sedentary (p=3.71e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:0-oh)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(18:0-oh)_feature1,car(18:0(oh)),car(18:0-oh)_feature1,,,,0.24803403,0.37449527,1.0,up_in_numerator,not_significant,"0.25 log2-units higher in HIGHER at 8w training vs sedentary (p=3.74e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(10:1),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(10:1),car(10:1),,,,,-0.14992967,0.38034296,1.0,down_in_numerator,not_significant,"0.15 log2-units lower in HIGHER at 8w training vs sedentary (p=3.80e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(5:1),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(5:1),car(5:1),,,,,-0.23804244,0.3813529,1.0,down_in_numerator,not_significant,"0.24 log2-units lower in HIGHER at 8w training vs sedentary (p=3.81e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(22:2)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(22:2)_feature1,car(22:2),car(22:2)_feature1,,,,0.23794352,0.3821938,1.0,up_in_numerator,not_significant,"0.24 log2-units higher in HIGHER at 8w training vs sedentary (p=3.82e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(8:1),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(8:1),car(8:1),car(8:1),,,,-0.27434403,0.38600102,1.0,down_in_numerator,not_significant,"0.27 log2-units lower in HIGHER at 8w training vs sedentary (p=3.86e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:0)_feature2,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(18:0)_feature2,tg(50:2)_lp_b,car(18:0)_feature2,,,,-0.4192802,0.38704416,1.0,down_in_numerator,not_significant,"0.42 log2-units lower in HIGHER at 8w training vs sedentary (p=3.87e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,butyrobetaine,refmet_curated_class,accepted_curated,accepted_curated,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,butyrobetaine,3-dehydroxycarnitine,butyrobetaine,Fatty esters,Fatty Acyls,Acyl carnitines,-0.05462235,0.39293522,1.0,down_in_numerator,not_significant,"0.05 log2-units lower in HIGHER at 8w training vs sedentary (p=3.93e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,
acylcarnitine,class,car(17:1)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(17:1)_feature1,car(17:1),car(17:1)_feature1,,,,-0.35001785,0.40444732,1.0,down_in_numerator,not_significant,"0.35 log2-units lower in HIGHER at 8w training vs sedentary (p=4.04e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:2)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(18:2)_feature1,car(18:2)_lp_a,car(18:2)_feature1,,,,0.19285503,0.4560775,1.0,up_in_numerator,not_significant,"0.19 log2-units higher in HIGHER at 8w training vs sedentary (p=4.56e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:0-oh)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(18:0-oh)_feature1,car(18:0(oh)),car(18:0-oh)_feature1,,,,-0.22989666,0.46626785,1.0,down_in_numerator,not_significant,"0.23 log2-units lower in HIGHER at 8w training vs sedentary (p=4.66e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(4:0),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(4:0),car(4:0),,,,,0.10330082,0.4825079,1.0,up_in_numerator,not_significant,"0.10 log2-units higher in HIGHER at 8w training vs sedentary (p=4.83e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(26:1)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(26:1)_feature1,car(26:1),car(26:1)_feature1,,,,0.13344118,0.48496097,1.0,up_in_numerator,not_significant,"0.13 log2-units higher in HIGHER at 8w training vs sedentary (p=4.85e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
