feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
Allopurinol,Allopurinol,Nucleic acids,1.2423488496562127,log2fc,0.00532791830842774,0.014315416869108876,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Glutaric acid,Glutaric acid,Fatty Acyls,0.12923998710186319,log2fc,0.008865005637459103,0.02267395672657809,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
LPE 20:4,LPE 20:4,Glycerophospholipids,0.17009833902865953,log2fc,0.01193169872355944,0.029387332041359366,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
"δ-Ribono-1,4-lactone [refmet: Ribonolactone]",Ribonolactone,Carbohydrates,0.34545290483366403,log2fc,0.012669920086911651,0.030919254524022926,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
URIC ACID,Uric acid,Nucleic acids,0.09184186697974146,log2fc,0.016792189722112872,0.039528517398955965,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
DL-Dipalmitoylphosphatidylcholine [refmet: PC 16:0/16:0],PC 16:0/16:0,Glycerophospholipids,0.2792599092996981,log2fc,0.019638190016963892,0.04542398734358605,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Propionylcarnitine [refmet: CAR 3:0],CAR 3:0,Fatty Acyls,-0.5007438193573491,log2fc,5.2636280101493164e-09,2.8002501013994366e-07,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
S-Methyl-methionine; AIF; CE10; MS2Dec,S-Methyl-methionine; AIF; CE10; MS2Dec,unclassified_no_refmet_match,-1.0061235122828538,log2fc,1.909802539843304e-07,2.8222637533239937e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Glycocholic acid,Glycocholic acid,Sterol Lipids,-1.7085211545287404,log2fc,2.2049171613472248e-07,3.0868840258861146e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Taurochenodeoxycholic Acid (sodium salt) [refmet: Taurochenodeoxycholic acid],Taurochenodeoxycholic acid,Sterol Lipids,-1.9970951709627929,log2fc,3.6250027562441836e-07,4.821253665804764e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Glycochenodeoxycholic acid,Glycochenodeoxycholic acid,Sterol Lipids,-1.7561840551583414,log2fc,6.183478846957924e-07,7.832406539480037e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
L-Kynurenine [refmet: Kynurenine],Kynurenine,Organic acids,-0.30321680847439636,log2fc,7.372809129231747e-07,8.526814036415847e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
D-(+)-Tryptophan [refmet: D-Tryptophan],D-Tryptophan,Organic acids,-0.4197964586098009,log2fc,9.530021730858198e-07,9.749945309262618e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
2-Hydroxypyridine sulfate,2-Hydroxypyridine sulfate,unclassified_no_refmet_match,-1.1465157046456314,log2fc,1.0675283504565502e-06,1.0517131156349717e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
LPC 16:0-SN1 [refmet: LPC 16:0/0:0],LPC 16:0/0:0,Glycerophospholipids,-0.16245687668230602,log2fc,2.267214527368112e-06,2.1538538009997067e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Theophylline,Theophylline,Nucleic acids,-0.31147460642320357,log2fc,2.7462004273837475e-06,2.518928667876127e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Asparagine,Asparagine,Organic acids,-0.4695081870109881,log2fc,3.3117992329439297e-06,2.9364619865436177e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
"1,3,7-trimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione [refmet: Caffeine]",Caffeine,Nucleic acids,-0.4892958009828747,log2fc,3.5400733232541426e-06,3.037611303179361e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
DL-Lysine [refmet: Lysine],Lysine,Organic acids,-0.3431121483541936,log2fc,7.864286229863783e-06,6.33909132467808e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Acetohydroxamic acid,Acetohydroxamic acid,Organic acids,-0.19472277702687854,log2fc,1.2093763782477527e-05,9.19126047468292e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,lower_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
