study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute,license,license_url,revision_comment,revision_datetime,revision_no,study_url,version
ST003048,Identification and validation of serum metabolite biomarkers for endometrial cancer diagnosis,Homo sapiens,MS(Dir. Inf.),395,2024-01-22,2024-01-23,Shanghai Jiao Tong University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003049,Plasma instead of serum avoids critical confounding of clinical metabolomics studies by platelets (Part 2),Homo sapiens,LC-MS,48,2024-01-22,2024-04-12,University of Vienna,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003050,Plasma instead of serum avoids critical confounding of clinical metabolomics studies by platelets (Part 1),Homo sapiens,LC-MS,120,2024-01-22,2024-04-12,University of Vienna,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003051,Shotgun lipidomics of breast cancer endocrine therapy persisters,Homo sapiens,LC-MS,8,2024-01-23,2024-02-13,Dartmouth College,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003052,Synaptic vesicle lipidomics captures signatures of aging and synucleinopathy,Mus musculus,LC-MS,122,2024-01-24,2025-04-10,Weill Cornell Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003053,Providing insight into the mechanism of action of Cationic Lipidated Oligomers (CLOs) using metabolomics,Staphylococcus aureus,LC-MS,30,2024-01-24,2024-01-31,Monash University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003054,Integrated metabolomics and proteomics of symptomatic and early pre-symptomatic states of colitis,Mus musculus,NMR,50,2024-01-24,2024-02-28,University of Florence,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003055,Lipidomics analysis of the liver of THRB deficient (THRBKO) mice under normal chow conditions,Mus musculus,LC-MS,36,2024-01-25,2024-08-14,University of Luebeck,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003056,Untargeted metabolomics revealed multiple metabolic perturbations in plasma of T2D patients in response to Liraglutide - Part 2,Homo sapiens,LC-MS,46,2024-01-26,2024-08-05,King Faisal Specialist Hospital and Research Centre (KFSHRC),CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003057,Spatiotemporal mapping of lipid disturbance in heart injury - Part 1,Mus musculus,LC-MS,90,2024-01-30,2025-01-30,National University of Singapore,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003058,Spatiotemporal mapping of lipid disturbance in heart injury - Part 2,Mus musculus,LC-MS,29,2024-01-30,2025-01-30,National University of Singapore,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003059,Spatiotemporal mapping of lipid disturbance in heart injury - Part 3,Sus scrofa,LC-MS,30,2024-01-30,2025-01-30,National University of Singapore,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003060,Fluxomics of hormone deprivation in ER+ breast cancer cell lines,Homo sapiens,LC-MS,18,2024-01-31,2024-02-14,Dartmouth College,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003061,Untargeted metabolomics analysis of three tea cultivars.,Camellia sinensis,LC-MS,9,2024-01-31,2024-02-05,Fujian Agriculture and Forestry University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003062,Identification of Plasma Metabolites and Peptides as Diagnostic Biomarkers for Psoriasis Vulgaris through HILIC-HRMS-Based Metabolomics,Homo sapiens,LC-MS,88,2024-02-01,2024-08-05,Guangzhou University of Chinese Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003063,Uncoupling Metabolic Health from Thermogenesis via BCAA Nitrogen Flux in Brown Fat - Serum metabolomics from control and MBC UCP1-KO,Mus musculus,LC-MS,13,2024-02-01,2024-02-19,BIDMC,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003064,Metabolic responses of Amaranthus caudatus roots and leaves to zinc stress,Amaranthus caudatus L.,GC-MS,18,2024-02-01,2024-04-02,"K.A. Timiryazev Institute of Plant Physiology RAS, Moscow, Russia",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003065,Investigative needle core biopsies for multi-omics in Glioblastoma,Homo sapiens,MS(Dir. Inf.),1,2024-02-02,2025-02-03,Brigham and Women's Hospital,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
