metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
NA,lpc(14:0),0.29366437,0.005617623,1.0,male,2.2504474097612652
NA,glucose,-0.35085395,0.0056313854,1.0,male,2.24938474945428
pc(40:8)>pc(20:4_20:4)_m+h2co2_feature1,pc(20:4_20:4),-0.29836348,0.0056997235,1.0,male,2.2441462119304676
lpc(14:0)_feature1and2,lpc(14:0)_ln_ab,0.56204593,0.005775065,1.0,male,2.238443123300327
pc(36:5)_feature3,pc(36:5)_lp_c,0.78115916,0.0057866136,1.0,male,2.2375755165979996
n-acetylornithine,n-acetylornithine,0.30349275,0.005989453,1.0,female,2.2226128387006843
tg(58:8)>tg(18:0_20:4_20:4)_and_tg(18:0_18:2_22:6)_m+nh3_feature6,tg(58:8)_lp_f,-0.69543725,0.006062895,1.0,male,2.2173199530111933
n4-acetylcytidine,n4-acetylcytidine,0.4874266,0.0062935287,1.0,male,2.2011057829755662
c20:4 lpc a,lpc(20:4)_hp_a,-0.2505381,0.006429037,1.0,male,2.1918540748063124
pc(37:4)_feature2,pc(37:4)_lp_b,-0.3654372,0.0065170517,1.0,male,2.1859488337173585
lpc(14:0/0:0)_and_lpc(0:0/14:0)_feature1and2,lpc(14:0)_lp_ab,0.39268127,0.0066211,1.0,female,2.179069852819449
pc(o-36:5)_feature1,pc(o-36:5)_lp_a,-0.45557693,0.0068537584,1.0,male,2.1640712088346836
pc(38:6)>pc(16:0_22:6)_and_pc(18:0_20:6)_m+h2co2_feature2,pc(38:6)_ln_b,-0.2459281,0.0069457176,1.0,female,2.15828287827474
pc(40:2)_feature2,pc(40:2)_lp_b,0.3781083,0.0069846897,1.0,male,2.1558528829744423
tg(58:6)_m+nh3_feature4,tg(58:6)_lp_d,-1.1874177,0.006993521,1.0,male,2.1553041166908806
NA,succinic acid,-0.39416212,0.00714603,1.0,male,2.1459351649028053
homocysteine,homocysteine,-0.59263283,0.0072409026,1.0,male,2.1402072943323103
kynurenine,kynurenine,-0.66631085,0.007366924,1.0,female,2.132713810469655
NA,car(12:0),-0.30086097,0.0074607264,1.0,female,2.127218886179677
dmgv,dmgv,-0.43366438,0.0074728266,1.0,male,2.126515095026966
tg(58:5)_m+nh3_feature2,tg(58:5)_lp_b,-0.93466836,0.0075062234,1.0,male,2.124578514270995
pc(42:3)_feature1,pc(42:3)_lp_a,0.550598,0.0076181823,1.0,male,2.1181486390606374
lpc(20:1)_feature2,lpc(20:1)_ln_b,0.2809973,0.0076488266,1.0,female,2.116405184484527
taurohyocoholate,taurohyocholic acid,-1.5198119,0.007833036,1.0,female,2.106069877470489
pi(38:3)>pi(18:0_20:3)_feature2,pi(18:0_20:3)_ln_b,0.43568435,0.007846214,1.0,female,2.1053398509666548
NA,sm(d34:2),-0.22748141,0.008092324,1.0,female,2.0919267372957955
