study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute
ST003999,Measuring PEMT activity in HCMV infected fibroblasts using 13C-methionine.,Homo sapiens,LC-MS,88,2025-06-25,2025-06-25,University of Arizona
ST004019,Analysis of the effects of MINCH on the metabolism of human preadipocytes and mature adipocytes by 13C metabolic tracing with [U-13C]glucose,Homo sapiens,LC-MS,144,2025-07-04,2025-07-24,Helmholtz Centre for Environmental Research
ST004020,"Analysis of the effects of MINCH on the metabolism of human preadipocytes and mature adipocytes by 13C metabolic tracing with [1,2-13C]glucose",Homo sapiens,LC-MS,144,2025-07-04,2025-07-24,Helmholtz Centre for Environmental Research
ST004021,Analysis of the effects of MINCH on the metabolism of human preadipocytes and mature adipocytes by 13C metabolic tracing with [U-13C]glutamine,Homo sapiens,LC-MS,144,2025-07-04,2025-07-24,Helmholtz Centre for Environmental Research
ST004037,Untargeted Metabolomics Reveal Long-Term Metabolic Changes in the Oral Cavity Following Disease Stress and Recovery,Homo sapiens,LC-MS,777,2025-07-11,2025-07-17,University of Michigan
ST004098,Metabolic-Immuno-Hormonal Crosstalk in Breast Cancer,Homo sapiens,LC-MS,65,2025-08-07,2025-08-29,Sharjah Institute for Medical Research
ST004099,A genome-scale metabolic model for deciphering the host metabolic perturbations during Mycobacterium tuberculosis infection,Homo sapiens,LC-MS,66,2025-08-08,2025-08-25,Translational health science and technology institute
ST004111,Metabolic changes in human macrophages following NLRP3 activation,Homo sapiens,LC-MS,38,2025-08-14,2025-08-15,Imperial College London
ST004113,Metabolic changes in NLRP3 knockout and VRAC knockdown THP-1 derived macrophages following NLRP3 inflammasome activation,Homo sapiens,LC-MS,45,2025-08-14,2025-08-15,Imperial College London
ST004135,The SLC1A1/EAAT3 Dicarboxylic Amino Acid Transporter is an Epigenetically Dysregulated Nutrient Carrier that Sustains Oncogenic Metabolic Programs,Homo sapiens,LC-MS,24,2025-08-21,2025-09-11,Cleveland Clinic
ST004139,"Metabolic Profiling of Saliva for Determination of Pathogenesis, Diagnosis, and Prognosis in Gestational Diabetes Mellitus in the First and Second Trimester",Homo sapiens,MALDI-MS,828,2025-08-22,2025-10-08,Zhejiang University
ST004140,"Metabolic Profiling of Serum for Determination of Pathogenesis, Diagnosis, and Prognosis in Gestational Diabetes Mellitus in the First and Second Trimester",Homo sapiens,MALDI-MS,839,2025-08-22,2025-10-08,Zhejiang University
ST004141,"Metabolic Profiling of Urine for Determination of Pathogenesis, Diagnosis, and Prognosis in Gestational Diabetes Mellitus in the First and Second Trimester",Homo sapiens,MALDI-MS,686,2025-08-22,2025-10-08,Zhejiang University
ST004144,Metabolic rewiring in isogenic SW48 colorectal cancer cells with different oncogenic KRAS G12 point mutations,Homo sapiens,LC-MS,294,2025-08-22,2025-08-25,Brunel University of London
ST004147,Urinary Multi-Omics Signatures of Preterm Premature Rupture of Membranes: Insights into Microbial and Metabolic Biomarkers,Homo sapiens,NMR,78,2025-08-26,2025-10-08,Inonu University Department of Biomedical Eng.
ST004161,"Distinct plasma metabolomic alterations are associated with physical function, weight loss, and muscle mass in men with cancer",Homo sapiens,LC-MS,88,2025-09-02,2025-09-25,VA Puget Sound Health Care System
ST004166,"Distinct skeletal muscle metabolomic alterations are associated with physical function, weight loss, and muscle mass in men with cancer",Homo sapiens,LC-MS,79,2025-09-03,2025-09-25,VA Puget Sound Health Care System
ST004178,Tomato-Soy Juice Reduces Inflammation and Modulates Urinary Metabolome in Adults with Obesity,Homo sapiens,LC-MS,192,2025-09-10,2025-09-30,Ohio State University
ST004185,Maternal and fetal Tryptophan-Kynurenine metabolite changes in Preeclampsia and Gestational Diabetes,Homo sapiens,LC-MS,60,2025-09-16,2025-10-06,Translational Health Science And Technology Institute (THSTI)
ST004186,Discovery and Validation of Metabolic Biomarkers for 'Liver Qi Stagnation' and 'Liver-Gallbladder Damp-Heat' Syndromes in Cholelithiasis: Blood untargeted,Homo sapiens,LC-MS,95,2025-11-06,2025-11-06,First Affiliated Hospital of Dalian Medical University
ST004187,Discovery and Validation of Metabolic Biomarkers for 'Liver Qi Stagnation' and 'Liver-Gallbladder Damp-Heat' Syndromes in Cholelithiasis: Blood targeted,Homo sapiens,LC-MS,96,2025-09-16,2025-09-17,The First Affiliated Hospital of Dalian Medical University
ST004188,Discovery and Validation of Metabolic Biomarkers for 'Liver Qi Stagnation' and 'Liver-Gallbladder Damp-Heat' Syndromes in Cholelithiasis: Urine targeted,Homo sapiens,LC-MS,96,2025-09-16,2025-09-17,The First Affiliated Hospital of Dalian Medical University
ST004189,Discovery and Validation of Metabolic Biomarkers for 'Liver Qi Stagnation' and 'Liver-Gallbladder Damp-Heat' Syndromes in Cholelithiasis: Urine untargeted,Homo sapiens,LC-MS,96,2025-11-06,2025-11-06,First Affiliated Hospital of Dalian Medical University
ST004199,Longitudinal Metabolomic Changes in Adolescents with Obesity: Efficacy of a One-Year Ketogenic Nutritional Intervention,Homo sapiens,GC-MS/LC-MS/CE-MS,220,2025-09-18,2026-01-29,Universidad CEU San Pablo
ST004207,Tumour sampling conditions perturb the metabolic landscape of clear cell renal cell carcinoma,Homo Sapiens; Mus musculus,LC-MS,111,2025-09-22,2025-09-25,University of Cambridge
ST004275,Cardiometabolic and molecular adaptations to 6-month intermittent fasting in middle-aged men and women with overweight: secondary outcomes of a randomized controlled trial,Homo sapiens,GC-MS,120,2025-10-10,2025-10-28,Washington University in St. Louis
ST004279,Metabolic aging in human pancreas,Homo sapiens,LC-MS,41,2025-10-13,2025-11-19,University of Southern California
ST004303,Exercise intensity modulates the human plasma secretome and interorgan communication,Homo sapiens,LC-MS,67,2025-10-22,2025-11-12,The Rockefeller University
ST004325,Dynamics of urine metabolomics and tubular inflammatory cytokines in Type 1 diabetes across disease durations,Homo sapiens,NMR,247,2025-11-01,2025-11-21,Lin-Kou Chang Gung Memorial hospital
ST004423,Follicular Fluid from Women with PCOS Induces Granulosa Cells Metabolic Dysfunction that is Amplified by Obesity,Homo sapiens,NMR,24,2025-12-09,2026-03-26,"School of Medicine and Biomedical Sciences (ICBAS), University of Porto"
ST004492,Metabolic Flux Analysis of Glycolysis and the Pentose Phosphate Pathway Using U-¹³C-Glucose Stable Isotope Tracing in WT type and TIGAR-knockout HIEC-6 cells,Homo sapiens,LC-MS,40,2025-12-25,2026-01-02,"Southwest Hospital, Third Military Medical University"
ST004494,Metabolic Flux Analysis of Glycolysis and the Pentose Phosphate Pathway Using U-¹³C-Glucose Stable Isotope Tracing in Wild-type and sgTIGAR HT-29 Cl.16E Cells,Homo sapiens,LC-MS,40,2025-12-26,2026-01-02,"Southwest Hospital, Third Military Medical University"
ST004518,Plasma metabolic profiling identifies elevated hippurate as a potential biomarker of methotrexate non-response in juvenile idiopathic arthritis.,Homo sapiens,LC-MS,60,2026-01-08,2026-01-29,University of Kansas
ST004529,"Description of metabolic variation between MDS versus control patient derived HSPCs, and in cultured primary cells between DMSO and OT82 exposure.",Homo sapiens,LC-MS,38,2026-01-13,2026-02-06,University of Colorado School of Medicine
ST004581,"Impact of maternal HIV infection on the gut microbiota microbiome and metabolome of maternal-infant populations mothers and infants: The PRACHITi Cohort in Pune, India",Homo sapiens,LC-MS,100,2026-01-30,2026-02-16,Columbia University - Medical Center
ST004582,"Cysteine boosts fitness to hypoxia by promoting sulphur and carbon metabolism reprograming, in ovarian cancer",Homo sapiens,NMR,24,2026-01-30,2026-02-16,ITQB NOVA
ST004615,Multi-omics analyses reveal key immunological and metabolic determinants of mortality in HIV-associated Pneumocystis pneumonia,Homo sapiens,LC-MS,47,2026-02-06,2026-02-10,Imperial College London
ST004616,Lineage-tailored Extracellular Vesicles from Human Retinal Ganglion-like cells drive Metabolic Reprogramming and Bioenergetic Recovery in Preclinical Glaucomatous Degeneration,Homo sapiens,LC-MS,16,2026-02-06,2026-03-02,National Institutes of Health
ST004628,Active brown adipose tissue is associated with reduced arterial inflammation and improved atherogenic systemic profile in individuals with obesity,Homo sapiens,LC-MS,130,2026-02-13,2026-05-01,University of Vienna
ST004684,BCAT1 promotes HCC metabolic reprogramming and survival through HIF-1α stabilization,Homo sapiens,CE-MS,6,2026-03-11,2026-03-17,University of Hong Kong
ST004714,Targeted serum metabolomics before and after short-term lifestyle intervention in children with obesity,Homo sapiens,LC-MS,27,2026-03-24,2026-05-11,Hebei medical university
ST004715,Untargeted serum metabolomics comparison between metabolically healthy and metabolically unhealthy obesity in children,Homo sapiens,LC-MS,298,2026-03-24,2026-05-11,Hebei medical university
ST004718,Chikungunya virus infection significantly alters the metabolic composition of the human intestine,Homo sapiens,LC-MS,117,2026-03-25,2026-04-17,Zhujiang Hospital of Southern Medical University
ST004741,"Metabolomic aging and mortality clocks based on ensemble learning identify systemic aging risk across the human lifespan in 18,476 individuals",Homo sapiens,MALDI-MS,18476,2026-04-08,2026-04-10,Shanghai Jiao Tong University affiliated Renji Hospital
ST004818,Whole Blood Metabolomics Reveals Coordinated Redox-One-Carbon Axis Disruption in NSCLC: A Pilot Study in an Indian Cohort,Homo sapiens,LC-MS,84,2026-05-04,2026-05-11,"All India Institute of Medical Sciences,"
