metabolite,refmet_name,log2fc,p_value,fdr,neg_log10_p
PC O-36:5,PC O-36:5,0.05511914527104379,0.043994317262761394,0.09437490638624621,1.3566034176231831
ST 27:1;O;S,ST 27:1;O;S,-0.17226260919242845,0.046044155844717945,0.09798196363755979,1.3368254848038699
Adipic acid,Adipic acid,0.27583400256363955,0.04865379972584087,0.1027135771989974,1.3128832368853363
Guanidineacetic acid,Guanidoacetic acid,-0.10206917328925176,0.051410112516200056,0.10767787345912767,1.288951445634788
"N,N-Dimethyl-lysine; AIF; CE0; MS2Dec","N,N-Dimethyl-lysine; AIF; CE0; MS2Dec",-0.1326604498281796,0.0523940183725974,0.10888131943055397,1.2807182919486764
3-Hydroxypyridine,3-Hydroxypyridine,-0.16523366876633902,0.054327363142605105,0.11202386508475161,1.2649813735675497
Stearic Acid,Stearic acid,0.12377880153547013,0.05516893880948688,0.11212035206990205,1.2583053697420343
β-Alanine,beta-Alanine,-0.11338201064285944,0.05521716586901191,0.11212035206990205,1.2579258881537716
Acrylic acid,Acrylic acid,0.08612169648269791,0.056021900271141595,0.11289261721305806,1.2516421639295519
Methylmalonic acid; LC-tDDA; CE20,Methylmalonic acid; LC-tDDA; CE20,0.24949715173114595,0.056978432064014504,0.11395686412802901,1.2442895058742807
LPE 18:1,LPE 18:1,-0.16815699531043612,0.05757712062615466,0.11429488124296372,1.2397500575447704
"N6,N6,N6-Trimethyl-L-lysine",N-6-Trimethyllysine,-0.14232337191758965,0.05961499593628389,0.1174636216226038,1.224644481313567
N6-Acetyl-L-lysine,N6-Acetyllysine,-0.13165641614211596,0.06007090417386003,0.1174916213988733,1.2213358310997093
3-Hydroxyphenylacetic acid,3-Hydroxyphenylacetic acid,-0.2128394687751193,0.061124031947797516,0.11867877735849737,1.2137880059551767
L-(+)-Lactic acid,Lactic acid,-0.2048082828742793,0.06371859746167771,0.12281990525221936,1.1957337922142477
SM d32:1,SM 32:1;O2,0.050338094481063154,0.06646267619372376,0.12661674007841406,1.1774221753539276
Lidocaine,Lidocaine,1.552486643774471,0.06664038951495477,0.12661674007841406,1.1762624731303641
LPC O-16:0,LPC O-16:0,-0.10482020023647222,0.06919623083603788,0.1305404071091211,1.159917561203525
Xylenesulfonate,"2,5-Dimethylbenzenesulfonic acid",0.18095941258068504,0.07826445332355667,0.14660806045116953,1.1064354439535986
INDOLEPROPIONIC ACID,Indolepropionic acid,-0.14434163358255697,0.08065951419957368,0.15003797746214403,1.093344398012504
N6-Methyl-lysine; AIF; CE10; MS2Dec,N6-Methyl-lysine; AIF; CE10; MS2Dec,-0.19461937721113473,0.09005212787251003,0.1663462917644977,1.0455060206304445
Succinic semialdehyde,Succinic acid semialdehyde,0.0928105185944811,0.09716031253295104,0.17823891816389642,1.0125110968813396
SM d34:2,SM 34:2;O2,0.04033921151448183,0.10252621488088448,0.18679433670078954,0.989165075852345
4-Acetamidobutanoic acid,4-Acetamidobutanoic acid,0.1644790975255797,0.10334181072833826,0.18699946703223114,0.9857239331286962
