metabolite,refmet_name,log2fc,p_value,fdr,platform,neg_log10_p
SM(d40:1)_isomer1 [metab-u-lrppos],SM(d40:1)_isomer1,0.0666876634766389,0.132447314789123,0.214032129826753,metab-u-lrppos,0.8779568420786258
GlcCer 18:2;O2/23:0 [metab-u-hilicpos],GlcCer 18:2;O2/23:0,0.103229967749261,0.132895451877366,0.200488828263268,metab-u-hilicpos,0.8764898817988929
LPC 18:0 [metab-u-hilicpos],LPC 18:0,-0.0353160385527822,0.134090558802857,0.201423586184549,metab-u-hilicpos,0.872601799360677
SM(d34:1) [metab-u-lrpneg],SM(d34:1),-0.114059747943003,0.134655051308776,0.287334794525025,metab-u-lrpneg,0.8707773502778687
SM(d34:2) [metab-u-lrppos],SM(d34:2),0.047036582203777,0.13487881448397,0.217401071160537,metab-u-lrppos,0.8700562599296883
alpha-Aminoadipic-acid [metab-t-amines],alpha-Aminoadipic-acid,0.0264212700963457,0.135348716798471,0.159298334213429,metab-t-amines,0.8685458572926986
PE(35:2)>PE(17:0_18:2) [metab-u-lrpneg],PE(35:2)>PE(17:0_18:2),-0.39444698477487,0.135845040700522,0.287601652137527,metab-u-lrpneg,0.8669562117599755
SM(d40:3) [metab-u-lrppos],SM(d40:3),0.0525706105192185,0.136983628460884,0.220227525756344,metab-u-lrppos,0.8633313342593585
Arginine [metab-t-amines],Arginine,-0.0491974056779716,0.137771532292695,0.159298334213429,metab-t-amines,0.8608405113502168
PE(O-38:6)>PE(O-18:2/20:4) [metab-u-lrppos],PE(O-38:6)>PE(O-18:2/20:4),-0.134040143388887,0.138304624704754,0.221782607902509,metab-u-lrppos,0.8591632974743891
FA 14:4;O3 [metab-u-lrpneg],FA 14:4;O3,0.103779254499383,0.138504990053886,0.287601652137527,metab-u-lrpneg,0.8585345795682867
HexCer(d41:1) [metab-u-lrpneg],HexCer(d41:1),0.220606951233854,0.138508708365471,0.287601652137527,metab-u-lrpneg,0.8585229206343591
SM(d35:1)_isomer1 [metab-u-lrppos],SM(d35:1)_isomer1,0.0343964712506803,0.138735503459682,0.221906022115358,metab-u-lrppos,0.857812385476488
PC(O-38:6)>PC(O-18:2/20:4) _isomer1 [metab-u-lrpneg],PC(O-38:6)>PC(O-18:2/20:4) _isomer1,0.119045509889752,0.139042123552446,0.287601652137527,metab-u-lrpneg,0.8568536079835368
PE(O-40:6)>PE(O-18:1/22:5) [metab-u-lrppos],PE(O-40:6)>PE(O-18:1/22:5),-0.0634342828639198,0.139300761488668,0.222243199626958,metab-u-lrppos,0.8560465094954721
Ser-Pro [metab-u-hilicpos],Ser-Pro,-0.110916175610869,0.139796101312045,0.209096732731691,metab-u-hilicpos,0.8545049401945957
PC(O-38:5)_isomer3 [metab-u-lrppos],PC(O-38:5)_isomer3,0.146413423116137,0.139929875922718,0.222501277347546,metab-u-lrppos,0.8540895509609071
PC(O-32:0)>PC(O-16:0/16:0) [metab-u-lrpneg],PC(O-32:0)>PC(O-16:0/16:0),-0.26525322795823,0.140134480883018,0.287601652137527,metab-u-lrpneg,0.8534549909472696
PC(38:0) [metab-u-lrppos],PC(38:0),-0.0900262792570672,0.140172256064243,0.222501277347546,metab-u-lrppos,0.8533379366585507
PC(O-34:1)>PC(O-18:1/16:0)_and_PC(O-34:1)>PC(O-16:0/18:1) [metab-u-lrpneg],PC(O-34:1)>PC(O-18:1/16:0)_and_PC(O-34:1)>PC(O-16:0/18:1),-0.0505000697477378,0.141147674296277,0.287601652137527,metab-u-lrpneg,0.8503262733698047
3-Methylxanthine [metab-u-rpneg],3-Methylxanthine,-0.198411521792629,0.141286996230552,0.200156577993283,metab-u-rpneg,0.8498978078980648
TG(49:1)_isomer2 [metab-u-lrppos],TG(49:1)_isomer2,-0.0849132513999145,0.141629324129806,0.224246429872193,metab-u-lrppos,0.8488468173435831
DG(36:3)>DG(18:1_18:2_0:0) [metab-u-lrppos],DG(36:3)>DG(18:1_18:2_0:0),0.0654319231949856,0.142059843877603,0.22436151665304,metab-u-lrppos,0.8475286669491444
PC(34:3)_isomer2 [metab-u-lrppos],PC(34:3)_isomer2,-0.0907567430620873,0.142467475213372,0.224439967233126,metab-u-lrppos,0.8462842721299643
CAR(20:0) [metab-u-rppos],CAR(20:0),-0.0785900576483094,0.142866991170826,0.235605213509783,metab-u-rppos,0.8450681015681757
TG(53:3)_isomer2 [metab-u-lrppos],TG(53:3)_isomer2,-0.0589816808641501,0.143312599811498,0.224940044110912,metab-u-lrppos,0.8437156254571314
TG(53:4)>TG(17:0_18:2_18:2)_and_TG(17:1_18:1_18:2) M + NH3_isomer2 [metab-u-lrppos],TG(53:4)>TG(17:0_18:2_18:2)_and_TG(17:1_18:1_18:2) M + NH3_isomer2,-0.123501180378245,0.14350242048543,0.224940044110912,metab-u-lrppos,0.8431407735320775
DG(34:2)>DG(16:1_18:1_0:0) [metab-u-lrppos],DG(34:2)>DG(16:1_18:1_0:0),0.116927042657192,0.144680499168569,0.226221129622676,metab-u-lrppos,0.8395900015292934
LPC(17:0)>LPC(17:0/0:0) [metab-u-lrppos],LPC(17:0)>LPC(17:0/0:0),-0.216001997117999,0.147100879475857,0.229433461272045,metab-u-lrppos,0.8323847307369847
SM(d39:2)_isomer2 [metab-u-lrppos],SM(d39:2)_isomer2,0.0457008997739337,0.148711760253282,0.231370406150888,metab-u-lrppos,0.8276546857406447
DG(36:5) [metab-u-lrppos],DG(36:5),-0.0826437539693892,0.149481711320689,0.231992655935822,metab-u-lrppos,0.8254119388336546
DG(36:3) [metab-u-rppos],DG(36:3),0.112421057372629,0.14949734535361,0.244395660230249,metab-u-rppos,0.825366519102191
PG(34:1)>PG(16:0_18:1) [metab-u-lrpneg],PG(34:1)>PG(16:0_18:1),0.213287356745642,0.15034116638838,0.304048179785456,metab-u-lrpneg,0.8229220847000596
SM(d39:0) [metab-u-lrppos],SM(d39:0),0.0371548774925898,0.151905196824,0.235171749157155,metab-u-lrppos,0.8184273682479449
PC(O-36:4)>PC(O-16:1/20:3) _isomer2 [metab-u-lrpneg],PC(O-36:4)>PC(O-16:1/20:3) _isomer2,-0.164013055408422,0.152429969413149,0.30598904971084,metab-u-lrpneg,0.8169296375162857
PC(30:0) [metab-u-rppos],PC(30:0),0.0991128615731078,0.15577527446539,0.25229344154113,metab-u-rppos,0.8075014748753235
SM(d36:3) [metab-u-lrppos],SM(d36:3),0.0494577990296818,0.156609754101058,0.241603815760312,metab-u-lrppos,0.8051811923397428
Hex3Cer(d42:1)>Hex3Cer(d18:1/24:0) [metab-u-lrppos],Hex3Cer(d42:1)>Hex3Cer(d18:1/24:0),0.046447326400699,0.156830547072483,0.241603815760312,metab-u-lrppos,0.8045693425895091
"trans-Cyclohexane-1,2-diol [metab-u-rppos]","trans-Cyclohexane-1,2-diol",-0.458598794061604,0.157012407767618,0.25229344154113,metab-u-rppos,0.8040660264946647
Targinine [metab-u-hilicpos],Targinine,0.0342854994558124,0.157285832814628,0.234255495681361,metab-u-hilicpos,0.8033103937627263
